feature,coefficient
emissions_rolling_mean_3,74.476722053866
emissions_lag1,-44.298844339359526
class_encoded,-17.817862145078376
scopes_encoded,10.033466189585681
emissions_rolling_std_3,6.874327289502709
emissions_rolling_mean_6,5.687268580562709
emissions_rolling_std_6,-3.7743341234176624
property_name_encoded,2.8201257642118067
emissions_lag3,2.750639105519403
emissions_rolling_mean_12,-2.7438879358800836
sector_encoded,1.9674311087097696
emissions_source_encoded,1.938179700942107
year,1.1958194677754388
emissions_lag12,-0.6569377713989729
emissions_mom_change,0.255519259414569
emissions_yoy_change,0.23102429504683097
day_of_week,-0.13086943457645162
emissions_lag6,-0.09689883928484937
week_of_year,0.07529633217847302
month_cos,-2.4868995751603507e-14
month_sin,2.4868995751603507e-14
quarter,-2.3092638912203256e-14
day_of_year_sin,-2.1316282072803006e-14
day_of_year_cos,7.105427357601002e-15
day_of_year,-6.217248937900877e-15
month,0.0
