feature,importance
emissions_rolling_mean_3,0.27189884
property_type_encoded,0.19368654
emissions_rolling_std_6,0.15032353
emissions_mom_change,0.10053385
class_encoded,0.08688211
emissions_source_encoded,0.06780979
emissions_rolling_std_3,0.033872653
emissions_lag1,0.021128776
emissions_yoy_change,0.018907549
primary_category_encoded,0.014391629
property_name_encoded,0.0124730775
scopes_encoded,0.010697773
emissions_lag12,0.0032831752
emissions_lag3,0.0030555807
year,0.0027307367
emissions_lag6,0.0026930845
emissions_rolling_mean_6,0.0026361414
emissions_rolling_mean_12,0.0022171682
day_of_week,0.00077810313
month,0.0
day_of_year_cos,0.0
day_of_year_sin,0.0
month_cos,0.0
month_sin,0.0
week_of_year,0.0
day_of_year,0.0
quarter,0.0
